Focus Area,0,1,2,3,4,5+
Central Auckland,-,"$242,715","$509,706","$710,000","$1,648,000",-
Central Auckland East,"$1,873,900",-,"$796,188","$1,242,833","$1,354,231","$2,195,000"
Central Auckland West,-,"$785,000","$1,042,667","$1,483,000","$1,220,000","$2,650,000"
Eastern Suburbs,-,"$455,833","$975,800","$1,262,200","$1,602,417","$1,830,000"
Franklin/Manukau Rural,"$1,022,321",-,"$567,200","$846,696","$1,365,425","$1,236,643"
North Shore,"$820,362","$582,500","$849,000","$1,113,585","$1,459,435","$1,755,004"
Northland,"$395,109","$390,000","$510,000","$863,938","$938,333","$1,130,000"
Pakuranga/Howick,"$789,928","$633,333","$779,833","$1,149,520","$1,405,674","$1,548,310"
Rodney,"$1,052,500",-,"$703,000","$1,027,458","$1,313,729","$1,706,455"
South Auckland,"$692,407","$1,273,771","$670,963","$827,224","$977,420","$1,335,000"
West Auckland,"$890,000","$476,750","$727,214","$950,760","$1,127,940","$1,472,685"
